transcript	session_token	occurrences	is_most_frequent
b38bcd82-6b37-459d-95af-24926a723824	01EcvjXkXhfd2WLGEYtG32Qb	6	no
b38bcd82-6b37-459d-95af-24926a723824	01SyE2fe3x48uUGJqro24RL2	6	no
b38bcd82-6b37-459d-95af-24926a723824	011hW4wSM3itJsaeuRjqBzJZ	6	no
b38bcd82-6b37-459d-95af-24926a723824	01DPFMBoDvkDGSRwsqd16ETS	2	no
b38bcd82-6b37-459d-95af-24926a723824	01FXRpk6KWV6q8iV6hxYPMgv	2	no
b38bcd82-6b37-459d-95af-24926a723824	013aTJrHMKqsyXpUw4jV7vyF	2	no
b38bcd82-6b37-459d-95af-24926a723824	01NegxgK9foV7v3zyP3sBQbk	2	no
b38bcd82-6b37-459d-95af-24926a723824	01XkqWSkt4NLe6aYnKPy4pxN	2	no
b736dae0-5f2a-442c-ac26-825b2b5237c1	014WF6yZX6zM15eSdEXNyXat	30	yes
b8a838aa-4627-4504-918a-8053c656cfb4	015rZEK3D158P1rEuifczUZg	15	yes
b8a838aa-4627-4504-918a-8053c656cfb4	016nLsc3T4PU54qRCYjzfqh7	6	no
b918fa33-fbb4-444c-9b4f-d84678f550c8	01TEnAme9YcVCvZZeqvpK7BR	4	yes
b918fa33-fbb4-444c-9b4f-d84678f550c8	016nLsc3T4PU54qRCYjzfqh7	4	no
ba55991c-ede5-4f94-ae8c-62a2105f3a62	01QgPVQP2W9UPiD8em6e4H5Y	3	yes
bfbf2497-637d-4645-9e82-53146a60c5ee	01Wa2thByL3wMCWnyLaW8a87	8	yes
bfbf2497-637d-4645-9e82-53146a60c5ee	01Vy8Ar1CfQxBbdWLYd75LaE	4	no
c12c0b59-2c58-4181-8d0b-52e376ce0088	015PErs1nSFzuHurQ9xWXbVx	10	yes
c95f22bf-ece2-4f4c-b925-d29e153b7281	01Vkm3r4LfuZZxMRzQfZNwqd	2	yes
c9bf1d28-a42f-47ab-9205-3e886db32b13	01W2fDFsLknENRhbGMmDWQjN	5	yes
cacf1b21-620b-4234-acf1-500cc02e5a82	01LMs35qhEqTFgnURG5Bn6BT	7	yes
cd236d64-741b-476e-8c5d-aebe3ed542cf	015UMmY6TQXjGM2Tzz1nPLu9	3	yes
cd236d64-741b-476e-8c5d-aebe3ed542cf	01TEnAme9YcVCvZZeqvpK7BR	2	no
cdcc3c5f-e8bf-4720-891f-9a78cd38729a	01HPswMPQR8AYygkxjtMWpCf	2	yes
cdcc3c5f-e8bf-4720-891f-9a78cd38729a	01FzVuaMW4F56HAiSJA5ri5x	2	no
cdcc3c5f-e8bf-4720-891f-9a78cd38729a	01LMs35qhEqTFgnURG5Bn6BT	2	no
d5568d25-3336-4a7b-abe1-05c7c82c85bd	01VTzC7M9qfk5ndmQahM8yFd	7	yes
d5d08b35-a434-4d40-acb6-aca142548fec	015PErs1nSFzuHurQ9xWXbVx	16	yes
dc99dfe7-5877-4f46-bf5a-4b3bb7e22033	01GtfnRMqys5N5rHPSjWHcNc	22	yes
ddce3a14-ebce-44a3-947d-86de8c0fdc43	01TsqGFu2czWpSFXoD5bUPFG	7	yes
e6c2f068-585f-4322-b7e4-4bd64cd2c7f5	01LMs35qhEqTFgnURG5Bn6BT	13	yes
ecb5e5e7-d60d-430f-a6ed-bb2fb87ea411	01TeuvfcEM7XYFKYjm4bhrzG	9	yes
f0029e6c-80fd-4b6b-bc22-4f2c4b301683	01N5MtxEirg6Wo2WrgmBhevb	40	yes
f51dcbfe-78b7-4b35-b654-8e05e8423edb	01SyE2fe3x48uUGJqro24RL2	60	yes
f51dcbfe-78b7-4b35-b654-8e05e8423edb	01NegxgK9foV7v3zyP3sBQbk	32	no
f51dcbfe-78b7-4b35-b654-8e05e8423edb	01XkqWSkt4NLe6aYnKPy4pxN	29	no
f51dcbfe-78b7-4b35-b654-8e05e8423edb	01TEnAme9YcVCvZZeqvpK7BR	22	no
f51dcbfe-78b7-4b35-b654-8e05e8423edb	01TdqPhSFchzRhXNXVgsgVjJ	6	no
f51dcbfe-78b7-4b35-b654-8e05e8423edb	01EmoK1PePuBP3NVBEyRQVTL	4	no
