sha	iso	subject	src	tests	tools	ci	docs	plans	frag	claudemd	changelog	files
597118332742	2026-09-04T10:00:52+01:00	Row 41: commit the audit as a tool, with its own bug in the docstring	0	0	172	0	0	0	0	0	0	1
33e5c6e69b0a	2026-09-04T09:54:03+01:00	Row 41: the vacuous-injection audit, and the one test it found	0	14	0	0	0	0	45	0	0	4
2300ddb3a048	2026-09-04T09:52:42+01:00	Release 0.32.5 — a permission problem reported as three other things	9	0	0	0	243	0	225	26	53	17
8180d798e8e6	2026-09-04T09:45:10+01:00	CLAUDE.md: state the mechanism, not today's interpreters	0	0	0	0	0	0	0	21	0	1
77c84bc7c304	2026-09-04T09:35:25+01:00	Row 39 is answered, and it has a measured hole	0	0	0	0	0	2	0	0	0	1
adf1b228bf56	2026-09-04T09:33:14+01:00	Row 39: one changelog fragment and one retrospective	0	0	0	0	0	0	45	0	0	2
c780b839ac0b	2026-09-04T09:32:52+01:00	Row 39: pin check.sh's --git-common-dir, and replace a mutant that could not discriminate	0	59	21	0	0	0	0	0	0	2
050a268cf561	2026-09-04T09:30:17+01:00	Row 39: refuse to land a tree no ./check.sh run certified	0	201	60	0	0	0	0	0	0	3
66ddb8f172a8	2026-09-04T09:25:58+01:00	WIP row 39: the guard, before its tests	0	0	79	0	0	0	0	0	0	2
5e1d560c9e01	2026-09-04T04:40:02+01:00	Rule row 41's form, and approve row 40's deviation from my own spec	0	0	0	0	0	4	0	0	0	1
fb7c884a8aef	2026-09-04T04:14:50+01:00	Row 40: one changelog fragment and one retrospective	0	0	0	0	0	0	41	0	0	2
bb56f0f25d58	2026-09-04T04:14:08+01:00	Row 40: mutate.py names the interpreter its counts came from	0	70	123	0	0	0	0	0	0	3
d5059751fabc	2026-09-04T04:02:31+01:00	Row 38: assert the totality the three removed guards used to stand in for	13	65	0	0	4	0	0	0	0	3
0ba8b55c0737	2026-09-04T03:59:27+01:00	Row 41: a fake must be shown to matter	0	0	0	0	0	1	0	0	0	1
7f3cc6709248	2026-09-04T03:56:06+01:00	Row 38: one changelog fragment and one retrospective	0	0	0	0	0	0	42	0	0	2
e2a10db980f1	2026-09-04T03:54:52+01:00	Row 38: three mutants, and row 40's dictated comment on the floor-only row	0	113	62	0	0	0	0	0	0	3
8495fa5cc6ea	2026-09-04T03:51:19+01:00	Row 38: `why_not_a_kb` is total, and a present-but-unreadable partner says so	128	113	0	0	0	0	0	0	0	5
8c6691b15f8f	2026-09-04T03:48:26+01:00	Row 40: an equivalent mutant, not an unkilled one	0	0	0	0	0	1	0	0	0	1
ec481cb408c1	2026-09-04T03:40:30+01:00	Row 39: make a commit impossible over a gate nobody read	0	0	0	0	0	1	0	0	0	1
a4ee5fe537e2	2026-09-04T03:35:52+01:00	Row 32: type the race test's stub so pyright strict is clean	0	6	0	0	0	0	0	0	0	1
13d60ceb5d9c	2026-09-04T03:35:16+01:00	Retro: a gate I read but did not obey	0	0	0	0	0	0	41	0	0	1
4996633ce37c	2026-09-04T03:10:56+01:00	Row 32, review pass: `os.stat` raises ValueError where `is_file()` returned False	16	39	8	0	0	0	0	0	0	3
f857e39e5a38	2026-09-04T03:07:50+01:00	On 3.14 pathlib ignores everything, so my brief named no set	0	0	0	0	0	2	0	0	0	1
70af57612143	2026-09-04T03:06:44+01:00	Row 32: five mutants, appended to the battery that already claims these files	0	0	98	0	0	0	0	0	0	1
590b5e381cdf	2026-09-04T03:03:48+01:00	Row 32: two changelog fragments and one retrospective	0	0	0	0	0	0	56	0	0	3
19ca641a5b60	2026-09-04T03:02:50+01:00	The ruled discriminator was wrong, and the survivor list is down to one	0	0	0	0	0	3	0	0	0	1
38eafc86da1e	2026-09-04T03:02:15+01:00	Row 32b: a paid document nothing can reach is named, not dropped	43	0	0	0	0	0	0	0	0	1
68128b0d5d03	2026-09-04T03:01:15+01:00	Row 32a: `pnk link` raises the error it was written to raise, on both interpreters	109	137	0	0	0	0	0	0	0	4
8c979eb76748	2026-09-04T02:55:20+01:00	The routing table was seven rows behind, and the interpreter claim is stale	0	0	0	0	2	0	0	8	0	2
57cefe0818e8	2026-09-04T02:54:37+01:00	Row 32: pin both survivors with real chmod fixtures — RED on 3.14 by design	0	105	0	0	0	0	0	0	0	2
cb658df9e09d	2026-09-03T18:11:12+01:00	Rule the two row-32 survivors, and the injection rule they falsify	0	0	0	0	0	4	0	0	0	1
bca85a557263	2026-09-03T18:01:33+01:00	0.32.4 is on the index — row 31 closed, verified against two wheels	0	0	0	0	27	3	0	23	0	4
53747005faac	2026-09-03T17:48:55+01:00	Release 0.32.4 — a directory the walk could not enter deleted what was under it	8	0	0	0	231	4	165	30	19	12
fe985fca265e	2026-09-03T17:29:46+01:00	Row 31: record the real run, which is what shows the tests are about `pnk`	0	0	0	0	0	0	10	0	0	1
32c14ee561d6	2026-09-03T17:29:46+01:00	Row 31, review pass: a remedy that promised a route the code cannot honour	9	43	33	0	1	0	9	0	0	5
dce986e3a9ca	2026-09-03T17:29:46+01:00	Row 31: one changelog fragment and two retrospectives	0	0	0	0	0	0	95	0	0	3
6ae7760af958	2026-09-03T17:29:46+01:00	Row 31: the fourteen `tests/test_paths.py` rows, dictated by the planner	0	0	0	0	14	0	0	0	0	1
514fe46e864b	2026-09-03T17:29:46+01:00	Row 31: hold documents under a source directory the walk cannot enter	424	551	193	0	21	0	0	0	0	10
dba0024d58cf	2026-09-03T17:20:41+01:00	An exclude pattern does not suppress an unreadable directory	0	0	0	0	0	2	0	0	0	1
18250b2dc0aa	2026-09-03T17:05:49+01:00	Option B was blind to a third case, and a row counted four of six	0	0	0	0	6	2	0	0	0	2
02aa982cf730	2026-09-03T16:42:16+01:00	The audit's judge ruled PARTIAL, and it corrected me	0	0	0	0	14	7	0	0	0	2
876bccff835d	2026-09-03T16:34:31+01:00	The floor check belongs in the procedure, not in a record of doing it	0	0	0	0	13	0	0	6	0	2
0f2c23bee780	2026-09-03T16:26:54+01:00	Retro: a two-way selector that could only ever fall one way	0	0	0	0	0	0	51	0	0	1
7d6d79899b9f	2026-09-03T16:22:34+01:00	Decide row 31, and record what 0.32.2 did on 3.14 rather than on 3.13	0	0	0	0	11	2	0	0	0	2
5c2087a4f94c	2026-09-03T16:16:59+01:00	0.32.3 is on the index — the sweep, and a hold made longer on purpose	0	0	0	0	29	1	0	35	0	4
d42df0e16dcb	2026-09-03T16:04:37+01:00	Release 0.32.3 — the tool offered to delete a permanent id	20	0	0	0	394	3	354	55	65	23
2ced5bf607dc	2026-09-03T15:27:08+01:00	Reframe the floor defect around the ULID, and correct row 28	0	0	0	0	0	3	0	87	0	2
e5edf068dd23	2026-09-03T15:11:35+01:00	Two user-facing fixes the review found had no changelog entry, and its lesson	0	0	0	0	0	0	45	0	0	2
1bcb6687939c	2026-09-03T15:09:40+01:00	The linkscan site was not a crash, so its test says what it actually pins	0	36	0	0	0	0	0	0	0	1
0fe2da603836	2026-09-03T15:07:53+01:00	Record the 3.13 crash, and a tag pointing at a run CI never finished	0	0	0	0	0	0	38	21	0	2
18d7fd79df2d	2026-09-03T15:05:05+01:00	The review found the fix stopped at the wrong boundary, and one worse bug	155	42	53	0	0	0	0	0	0	7
0a8c0ff345b4	2026-09-03T14:54:15+01:00	Fragments for the 3.13 fix, and the same false claim caught before it published	0	0	0	0	0	0	119	0	0	5
bc8dbe5d3b59	2026-09-03T14:52:45+01:00	The battery survived a row, and the test was the wrong half	0	7	6	0	0	0	0	0	0	2
370595e826b7	2026-09-03T14:50:15+01:00	Three battery rows for the interpreter fix, and two anchors it rotted	0	0	70	0	0	0	0	0	0	1
22fdc8834faf	2026-09-03T14:47:28+01:00	`pnk sync` crashed on Python 3.13, the version pyproject.toml promises	87	89	0	46	0	0	0	0	0	3
010da63c72df	2026-09-03T14:17:13+01:00	0.32.2 is on the index — the sweep, and two numbers I composed	0	0	0	0	36	5	0	47	0	5
868cff9a9f9b	2026-09-03T14:09:00+01:00	Two gate failures in tests I wrote, neither in the code under test	0	9	0	0	0	0	0	0	0	2
6a8fd0b40dc6	2026-09-03T14:07:31+01:00	Release 0.32.2 — four reports that were not true	10	0	0	0	275	1	202	24	47	18
5100898adabd	2026-09-03T14:01:25+01:00	The battery's witness was wrong, and four retrospective fragments	0	0	19	0	0	0	135	0	0	5
8ebede752e25	2026-09-03T13:58:38+01:00	Batteries for row 8: the closed set, the symlink, the empty result	0	0	210	0	0	0	0	0	0	3
01ffff37fc6b	2026-09-03T13:55:14+01:00	The symlink line named two causes it cannot tell apart	33	40	0	0	0	0	9	0	0	3
4414db4f5916	2026-09-03T13:49:34+01:00	One landing, three registers, and none of them noticed	0	0	0	0	0	33	0	0	0	2
a359ed2af86b	2026-09-03T13:47:49+01:00	Three defects the review found in row 8's own fixes	113	175	0	0	0	0	0	0	0	10
e9f4ddb587c1	2026-09-03T13:30:30+01:00	A review lens opens the same window a battery does	0	0	25	0	0	4	0	0	0	2
bbe1e4404829	2026-09-03T13:24:43+01:00	Row 8 fragments, and the battery README's denominator paragraph	0	0	26	0	0	0	20	0	0	4
203f09654339	2026-09-03T13:22:45+01:00	Row 7 landed 23 minutes before this, and the register never said so	0	0	0	0	0	19	0	14	0	2
6226b09c9fc1	2026-09-03T13:02:25+01:00	Row 8: the three Low classes that were still open, as three separate defects	125	203	0	0	0	0	0	0	0	8
3a0ecaf71f17	2026-09-03T12:06:53+01:00	CLAUDE.md: name the uncut release, because nothing else on main does	0	0	0	0	0	0	0	13	0	1
78b1b0e771ee	2026-09-03T11:55:17+01:00	docs/CLI.md: -k is refused below 1, and 0 is the arm nobody predicts	0	0	0	0	2	0	0	0	0	1
d46f37f372fa	2026-09-03T11:55:04+01:00	A retro fragment is inside the tree the retired-sentence gate searches	0	0	0	0	0	0	13	0	0	1
c8596fde5c34	2026-09-03T11:52:42+01:00	Two retired sentences that nothing was recording, and an argument that did not hold	0	16	32	0	0	0	52	0	0	4
c493c0342a1a	2026-09-03T11:52:42+01:00	The mutant that proved there was nothing to prove, and S8/S9's rows	0	0	108	0	0	0	0	0	0	2
146a7fa855af	2026-09-03T11:52:42+01:00	WIP: the S5–S7 battery section, with one survivor still to resolve	0	0	111	0	0	0	0	0	0	1
8a728f34e043	2026-09-03T11:52:42+01:00	Row 7's fragments, and three anchors my own changes rotted	0	1	20	0	0	0	117	0	0	9
85ac2d8a0f19	2026-09-03T11:52:42+01:00	S7: the failure ledger clears, and doctor stops printing a false remedy	63	124	0	0	0	0	0	0	0	6
dfa23de09c3f	2026-09-03T11:52:42+01:00	S6: gate the move hint on the orphaned sidecar, and stop asserting a mint	74	98	0	0	0	0	0	0	0	4
f111c7c19005	2026-09-03T11:52:42+01:00	S5: the two halves of one sync, each naming what the other does	21	26	0	0	0	0	0	0	0	2
e38539d49059	2026-09-03T11:52:42+01:00	S8 and S9 are one missing check, and it belongs at the boundary	33	34	0	0	0	0	0	0	0	2
29809ecb370b	2026-09-03T11:48:55+01:00	S20, and the record of a refutation that was attempted and failed	0	0	0	0	0	25	0	0	0	1
736276eaa513	2026-09-03T11:27:24+01:00	Three mechanisms, not one shape: correct the sweep plan's build-order summary	0	0	0	0	0	24	35	0	0	2
efa73d1041d2	2026-09-03T11:17:45+01:00	0.32.1 is on the index -- the hold marker comes off, verified with a control	0	0	0	0	31	0	0	0	0	2
43c79508fa61	2026-09-03T11:07:19+01:00	A link the release deletes, and a count whose denominator I could not name	0	0	0	0	6	2	0	0	10	4
d9ac82fc2074	2026-09-03T10:38:05+01:00	Release 0.32.1 -- a KB name no longer bricks the KB at creation	2	0	0	0	568	0	581	0	98	17
edbffc5f7800	2026-09-03T10:33:13+01:00	Refresh prices.toml for 0.32.1 -- the rate moved, so this is not a re-stamp	10	0	0	0	0	0	0	0	0	1
883fabc73fa6	2026-09-03T10:31:57+01:00	S4's registers flip, and two rows whose owner cell never rendered	0	0	21	0	2	14	0	0	0	4
3ea484e3c57f	2026-09-03T10:07:12+01:00	The measured counts, the third position, and the planner's closing sentence	0	0	0	0	6	0	109	0	0	3
c8d7318eff99	2026-09-03T10:02:39+01:00	Correct a claim about mutate.py in the paragraph that was about unread evidence	0	0	16	0	0	0	0	0	0	1
cf1389931bce	2026-09-03T10:01:15+01:00	Row 23's hypothetical is already in the wheel	0	0	0	0	0	2	0	0	0	1
c7a337829b72	2026-09-03T10:01:00+01:00	Pass 3: four findings, each confirmed by my own measurement before building	18	30	86	0	15	0	0	0	0	5
fce90a8cb794	2026-09-03T09:42:33+01:00	Two claims in the changelog fragment that its own later bullets refuted	0	0	0	0	0	0	12	0	0	1
7dba9addb47e	2026-09-03T09:37:24+01:00	Two rows the S4 review produced, and a stale cell it outgrew	0	0	0	0	0	9	0	0	0	1
a0dc26d6ce56	2026-09-03T09:35:24+01:00	VERIFICATION: four new S4 rows and three corrections, as the planner dictated	0	0	0	0	40	0	0	0	0	1
79a3289b6611	2026-09-03T09:31:15+01:00	Retro: a commit taken inside a mutation window shipped the mutant	0	0	0	0	0	0	49	0	0	1
9e1de7955416	2026-09-03T09:30:33+01:00	Restore the control-character arm a concurrent mutation run committed as False	2	0	0	0	0	0	0	0	0	1
719398335eae	2026-09-03T02:46:58+01:00	Retro: the review harness reported a clean pass while nobody had looked	2	0	0	0	0	0	18	0	0	2
c29cbc0d3ca0	2026-09-02T22:24:17+01:00	Retro: the S4 fix reproduced S4, and what the corpus could not have found	0	0	0	0	0	0	91	0	0	1
bfa8f3ac68f7	2026-09-02T22:18:36+01:00	S4 review pass 2: the fix reproduced the defect it fixes, on one input class	45	65	56	0	0	0	27	0	0	5
77ee88f05528	2026-09-02T17:33:31+01:00	S4 adversarial review, pass 1: three confirmed findings, and one the review could not see	0	23	19	0	0	0	11	0	0	3
15108cab275c	2026-09-02T13:08:41+01:00	Row 5 read as available while a branch held it	0	0	0	0	0	4	0	0	0	2
920d37bd9780	2026-09-02T13:06:29+01:00	S4 review pass: a mutation battery, and the gap its kill reasons found	0	37	136	0	0	0	56	0	0	6
5f89b68ea150	2026-09-02T13:04:33+01:00	An example I reasoned about instead of running	0	0	0	0	0	2	41	0	0	2
5077e2df00b3	2026-09-02T13:00:00+01:00	Two pointers a cleared session would have followed	0	0	0	0	0	0	0	25	0	1
c53858899111	2026-09-02T12:52:42+01:00	A summary sentence above a growing table nobody re-read	0	0	0	0	0	16	0	0	0	1
7217be9947e9	2026-09-02T12:52:03+01:00	S4: a KB name is escaped where it is rendered, not checked where it is typed	59	177	0	0	43	0	24	0	0	4
ed39d384a9ee	2026-09-02T12:44:02+01:00	Four blockers pointed at work that had landed hours earlier	0	0	0	0	0	22	0	0	0	2
c7dbadfbcb2a	2026-09-02T12:26:55+01:00	Row 20 was cured by row 15 and nobody struck it	0	0	0	0	0	2	0	0	0	1
818f8a77deab	2026-09-02T12:23:58+01:00	The two tasks the user authorised existed only in a session	0	0	0	0	0	2	0	0	0	1
6293712d2db6	2026-09-02T12:20:26+01:00	Row 3's blocker column still read live after its title said done	0	0	0	0	0	2	0	0	0	1
a0a81cbda8a5	2026-09-02T12:16:47+01:00	Row 3 still asked for a release that was already published	0	0	0	0	2	2	0	0	0	2
1cdb021cfd23	2026-09-02T12:06:40+01:00	Record the money path's first mutation battery, verified this time	0	0	0	0	7	0	0	0	0	2
ec860b0e459f	2026-09-02T12:02:33+01:00	main is green again: close the red across the three registers	0	0	0	0	22	0	0	16	0	3
3560f1d6a9c2	2026-09-02T12:02:32+01:00	Incorporate the coder's two proposals for row 15	0	0	12	0	0	2	0	0	0	2
aeb32f2427ab	2026-09-02T11:58:32+01:00	The money path gets its first mutation coverage, and its seam named	0	11	97	0	0	0	0	0	0	3
562bcd451f28	2026-09-02T11:46:57+01:00	The fragments: a constant neither test mentions, and a trigger that is scheduled	0	0	0	0	0	0	52	0	0	2
c23db3a8c734	2026-09-02T11:44:59+01:00	The mechanism I published for the red build was invented	0	0	0	0	16	0	39	12	0	4
a397f2485c3a	2026-09-02T11:44:20+01:00	A rate refresh cannot silence this guard, because it never reads the rate	0	73	0	0	0	0	0	0	0	1
cf1f1cb7e133	2026-09-02T11:35:48+01:00	An equality quantisation cannot hold, and its latent twin one hop down	0	37	0	0	0	0	0	0	0	1
a981b2ca7e78	2026-09-02T11:30:15+01:00	0.32.0 is on PyPI — the post-publish sweep, and a red main it will not hide	0	0	0	0	26	0	66	7	0	5
eb16a9f68357	2026-09-02T11:24:50+01:00	Two counts of my own, wrong the way row 15's were	0	12	0	0	0	0	15	0	0	2
ed8cb9969d4e	2026-09-02T11:08:01+01:00	Fragments for row 15	0	0	0	0	0	0	49	0	0	2
0239c472192e	2026-09-02T11:05:51+01:00	Release 0.32.0 — one unreadable file no longer takes the KB with it	22	0	0	0	1664	0	1810	0	269	46
c806b135f21a	2026-09-02T10:54:44+01:00	Row 15: gate the battery section-header format, and the audit's own blind spot	0	82	2	0	0	0	0	0	0	2
0fba1ce8ebec	2026-09-02T10:43:37+01:00	Three documents the planner dictated, pasted unchanged	0	0	0	0	48	0	0	0	0	3
04502fcf43a2	2026-09-02T10:40:09+01:00	Section 4 ANSWERED by the user: option E, with the trigger written out	0	0	0	0	0	92	0	0	0	1
793990ac99da	2026-09-02T10:38:28+01:00	The search assertion passed for a word in no document	0	23	0	0	0	0	0	0	0	1
665ba31a7eca	2026-09-02T10:33:11+01:00	S1: say what the assertion measures, not what it implies	0	4	0	0	0	0	0	0	0	1
0129df0e9113	2026-09-02T10:30:43+01:00	The watcher written to fix the watcher suppressed its own verdict line	0	0	0	0	0	0	29	0	0	1
6e593ef51e74	2026-09-02T10:28:59+01:00	S1: fragments, and the rebuild case the review pass turned up	0	33	0	0	0	0	73	0	0	3
512e0682fd02	2026-09-02T10:27:12+01:00	S1: the same unguarded read in `pnk doctor`, which is where the remedy sends you	23	70	0	0	0	0	0	0	0	2
492639549777	2026-09-02T10:21:30+01:00	S1: ten mutation rows, and one rotted anchor repaired	0	6	160	0	0	0	0	0	0	2
60601e5751ff	2026-09-02T10:21:16+01:00	cancelled is two states wearing one word, and a short sha is not a sha to gh	0	0	0	0	0	0	37	0	0	1
a4ec0f0a5cf8	2026-09-02T10:18:41+01:00	S1: pin the fix with eleven tests, five of them controls	0	232	0	0	0	0	0	0	0	2
3f6a3edb04b9	2026-09-02T10:18:41+01:00	S1: one unreadable document no longer aborts the whole index	94	0	0	0	0	0	0	0	0	2
d3cf6fe76ff8	2026-09-02T10:14:11+01:00	Mark build-order rows 1 and 2 built; row 3 now waits only on the user	0	0	0	0	0	6	0	0	0	1
833b1b9ebbd4	2026-09-02T10:00:52+01:00	The measurement the conclusion rests on is the one that gets checked	0	0	0	0	0	0	10	0	0	1
732ebe52345c	2026-09-02T09:57:00+01:00	Fragments, the dictated example note, and a 252-character line	0	0	0	0	0	0	66	0	0	4
d723ad3d0908	2026-09-02T09:57:00+01:00	Review pass: a README's headings are not the document's, and both were on main	0	20	15	0	1	0	49	0	0	6
96dcf02c7607	2026-09-02T09:57:00+01:00	Battery: six ways the splice-destination arm could be absent and green	0	0	66	0	0	0	0	0	0	1
f2e714ba2f88	2026-09-02T09:57:00+01:00	The link gate resolves a fragment where its body is going	0	167	134	0	0	0	28	0	0	6
34a1a365f424	2026-09-02T09:40:44+01:00	"Row 1 says ""the two code-spanned links"" and there are four"	0	0	0	0	0	2	0	0	0	1
3651c71e11f4	2026-09-02T09:34:44+01:00	Three more instruments that could not fire, in the same hour	0	0	0	0	0	0	10	0	0	1
ae3eb264635f	2026-09-02T09:34:44+01:00	I certified an anchor with a renderer I had assembled from the config	0	0	0	0	0	0	46	0	0	1
e01e27bbb58d	2026-09-02T09:29:57+01:00	"""25 fragments"" named no population, in the cell that closes the class"	0	0	0	0	0	2	0	0	0	1
8d71489acd7f	2026-09-02T09:22:40+01:00	The anchor was wrong, and b4fa8e8's commit message claims otherwise	0	0	0	0	0	0	25	0	0	3
3f7bf45675ea	2026-09-02T09:18:35+01:00	Row 1 was understating itself: the forbidden form is live, not just the degraded one	0	0	0	0	0	2	0	0	0	1
b4fa8e8fc94f	2026-09-02T09:17:14+01:00	Two fragments would have failed the release build; and a watcher that could not fire	0	0	0	0	0	0	60	0	0	3
394939d5e068	2026-09-02T09:03:25+01:00	A cited path is unchecked text; a link is a gated reference	0	0	0	0	0	0	16	0	0	1
0d9f6da4c456	2026-09-02T08:55:35+01:00	Pass 10 was my own diff, and it held two more false counts	0	0	2	0	0	0	24	0	0	3
bb0a07f8acbe	2026-09-02T08:50:08+01:00	VERIFICATION.md: three cells the planner dictated, pasted unchanged	0	0	0	0	4	0	0	0	0	1
2fd47bcb8002	2026-09-02T08:44:55+01:00	Row the coder's two findings, and fix three misfiled owners	0	0	0	0	0	15	30	2	0	4
bc68475b8249	2026-09-02T08:42:06+01:00	The four commit messages nobody reviewed, and one finding that did not survive	0	10	0	0	0	0	67	0	0	2
bf1e78ebe33e	2026-09-02T08:36:37+01:00	The fix duplicated a split and the battery lost a kill to it	0	0	29	0	0	0	0	0	0	2
f48e1cf413db	2026-09-02T08:34:16+01:00	Row 12 review pass 9: the stamp arm judged a line the heading was not on	0	58	79	0	0	0	24	0	0	4
6cb80b4a0f57	2026-09-02T04:09:48+01:00	Two numbers of mine that named no measurement point, one falsified by the commit that wrote it	0	0	17	0	0	0	7	0	0	2
bfa48bbddb40	2026-09-02T03:46:57+01:00	Pin the selector: --all is not a corpus, and one row had two populations	0	0	0	0	0	4	30	0	0	2
e0bb4954fc41	2026-09-02T03:38:23+01:00	A cleared session could not find the live build order	0	0	0	0	0	0	0	4	0	1
1015353bfc6d	2026-09-02T03:05:36+01:00	Correct rows 17 and 18: the sibling claim was false, and widen the rule	0	0	0	0	0	4	62	0	0	3
1c1032810f5f	2026-09-02T03:00:14+01:00	Row 18: defer date validation, and record why it splits from row 17	0	0	0	0	0	1	0	0	0	1
9ac95fce2100	2026-09-02T02:54:59+01:00	VERIFICATION.md: the exemption is keyed on a pattern, not on a file's age	0	0	0	0	2	0	0	0	0	1
56a970c0dbb1	2026-09-02T02:54:59+01:00	The gate read a different string than the renderer, and three of my own claims were wrong	0	29	40	0	0	0	14	0	0	4
2f2e9254aae3	2026-09-02T02:54:04+01:00	Rule row 17: narrow the stamp exemption, and say why it is not new process	0	0	0	0	0	1	0	0	0	1
04497a93c8dc	2026-09-02T01:11:24+01:00	Two false sentences of my own, a third caught inside the fragment describing the mechanism	0	0	20	0	0	0	32	0	0	2
5a3cb583a39e	2026-09-02T01:08:28+01:00	Correct row 14's count, and row the gate that disagrees with its renderer	0	0	0	0	0	3	66	0	0	4
2914b0937eb8	2026-09-01T21:58:07+01:00	Pass 7's two false sentences, the dictated rows, and a header that named a date instead of a release	0	0	19	0	6	0	0	0	0	3
a4077b5aed5e	2026-09-01T21:37:39+01:00	Row the second heading and refuse a gate, then get row 15 wrong	0	0	0	0	0	2	59	0	0	3
6bc80784d5a4	2026-09-01T21:28:23+01:00	Row 12 review pass 6: I wrote a new false sentence in the commit that fixed the false sentences	0	0	3	0	0	0	0	0	0	1
2fd21de396bf	2026-09-01T21:04:04+01:00	retro: merge-base is not the branch point after a rebase	0	0	0	0	0	0	35	0	0	1
5329d24b8c8f	2026-09-01T21:02:54+01:00	Row 12 review pass 5: a kill that stopped being a kill when another pass moved a different line	0	0	36	0	0	0	9	0	0	3
0e424c717d48	2026-09-01T19:53:41+01:00	Row 12 review pass 4: two corrections that asserted a property one character deeper than they delivered	0	62	91	0	0	0	94	0	0	6
4df5129657b7	2026-09-01T19:30:12+01:00	A status header called a shipped flag a proposal, two releases on	0	0	0	0	23	1	48	0	0	5
b0ef81e7d48e	2026-09-01T19:24:57+01:00	retro.d/README.md: the rule the gate enforces, dictated by the planner	0	0	0	0	0	0	17	0	0	1
b83138b63ce5	2026-09-01T19:23:53+01:00	"Row 12 review pass 3: the docstring I ""corrected"" in pass 2 was wrong in three checkable ways"	0	39	108	0	1	0	0	0	0	4
f1de4c1caf20	2026-09-01T19:23:53+01:00	Row 12 review pass 2: the message quoted the line stripped of the thing it was complaining about	0	39	37	0	0	0	0	0	0	3
360441667267	2026-09-01T19:23:53+01:00	Row 12, review pass 1: a BOM, a mis-named mutant, and a number I copied	0	35	37	0	0	0	30	0	0	4
0fd4a8670661	2026-09-01T19:23:53+01:00	Refuse a retro fragment that would be absorbed into the incident above it	0	168	136	0	3	0	43	0	0	6
437b18e55df1	2026-09-01T18:57:37+01:00	Section 6 listed four decisions owed by the user; three were wrong	0	0	0	0	0	10	8	0	0	2
ac05e8cdd9b4	2026-09-01T18:54:27+01:00	The plan about registers decaying, decayed	0	0	0	0	0	15	65	0	0	3
d246d5f62b9e	2026-09-01T13:11:01+01:00	Adopt the ordering plan, and re-correct the incident fragment	0	0	0	0	9	272	73	0	0	4
b83730a172b0	2026-09-01T12:57:27+01:00	Correct the incident's cause: two agents, not one, and two symptoms	0	0	0	0	0	0	52	0	0	2
840891f001d9	2026-09-01T12:43:35+01:00	Audit both registers in the sweep plan; row 3 read open for nine days	0	0	0	0	0	35	97	0	0	4
