transcript	agent_name	start	end	requests	user_turns	cross_session_msgs_in	distinct_peers	peers	compaction_events	input_tokens	cache_read_tokens	cache_write_tokens	output_tokens	context_tokens
3395fd0f-bdb1-410e-872a-3df0371baeb6		2026-08-30T15:04:02.515Z	2026-08-30T15:04:28.872Z	4	6	0	0		0	8	320989	133734	1564	454731
3a92d7e3-8214-484a-8e79-939d6c5acbc1	auto-context-management-investigation	2026-08-08T04:52:17.196Z	2026-08-08T09:32:20.912Z	131	137	0	0		0	278	20624355	530281	127115	21154914
4282969d-eaab-4b30-bd75-9731b4d345fe		2026-08-08T06:13:14.878Z	2026-08-08T08:45:13.500Z	211	236	0	0		0	421	33578797	224531	97788	33803749
43397725-81eb-46cc-8c3e-9c8cf72f4852	optimize-adversarial-review-tokens	2026-08-30T09:27:14.543Z	2026-09-01T07:20:13.591Z	362	406	22	2	coder|planner	5	716	59434288	2264293	471068	61699297
48660064-700d-444a-969c-abf4940b6156		2026-08-23T07:13:13.942Z	2026-08-23T14:12:18.388Z	288	314	1	1	pinakes-6d	0	574	101323643	1019173	311389	102343390
4cc3ad5f-f0a3-4e9a-8c1d-b61d2b8fc555		2026-08-07T23:19:28.053Z	2026-08-08T04:33:17.642Z	318	345	0	0		0	5277	123964387	1139805	297665	125109469
4f60228b-66c3-48a8-b0eb-f4614e1f973a		2026-09-02T06:40:34.660Z	2026-09-03T10:27:22.081Z	3	6	1	1	coder	0	6	139936	37408	2263	177350
512b78f5-af21-4e7e-a1d9-ad9f9da873d1	code-review-mutation-tests	2026-08-22T06:10:40.602Z	2026-08-23T02:21:32.006Z	262	295	10	2	planner-queue-review|review-retrospectives-lessons	0	520	80864255	2560579	321507	83425354
524f68ac-9c35-4ac4-a3f1-7dc5514ed3c6		2026-08-11T15:47:21.933Z	2026-08-11T16:37:22.969Z	125	146	0	0		0	1448	25082931	278299	125338	25362678
56b3e302-d868-48c6-b3b6-e893acca2af0		2026-08-22T10:19:50.348Z	2026-08-23T02:15:49.374Z	332	348	2	1	fix-audit-findings	0	652	100698944	1303290	274459	102002886
602bb9ff-14cf-4d93-987b-6fc2af30d750	planner	2026-09-01T12:13:16.202Z	2026-09-03T12:50:52.229Z	1313	1435	43	3	?|coder|pinakes-development-overview	11	2604	212122075	4997024	1278412	217121703
66446a32-06f7-4b62-9be5-14d0c43a5abf		2026-08-12T05:54:01.469Z	2026-08-12T06:17:47.114Z	76	97	0	0		0	150	24286189	443724	73333	24730063
6654f7a2-f069-40fe-b8d7-423851746ace	template-release-implementation	2026-08-07T07:54:55.999Z	2026-08-07T13:03:30.907Z	18	32	0	0		0	34	1661153	119597	16847	1780784
70b3804d-b888-406f-af90-be016d44c266		2026-08-07T13:01:55.982Z	2026-08-07T19:04:39.959Z	100	128	0	0		0	2741	13838919	403198	90173	14244858
77fafc0b-45a6-4389-afd2-7ff33774270c	document-state-corrections	2026-08-06T20:04:18.987Z	2026-08-07T07:45:14.890Z	240	268	0	0		0	477	65582532	1155434	176933	66738443
79dd70eb-dd2e-4d6b-a314-1c8d909c2a6d		2026-08-11T14:52:23.438Z	2026-08-11T15:47:21.920Z	183	241	0	0		0	1906	41093250	300328	116374	41395484
8082fb79-13f0-4188-a5fa-8b4a689bedaf	planner	2026-08-31T21:32:41.381Z	2026-08-31T23:59:04.460Z	526	593	4	2	coder|optimize-adversarial-review-tokens	4	1052	75375427	1384291	394148	76760770
81188c27-100f-4dde-8919-278e295fcad5	pinakes-three-agent-architecture	2026-09-02T11:35:04.076Z	2026-09-03T10:52:49.597Z	62	114	5	2	coder|planner	0	825	11103062	771290	174117	11875177
8553a8c6-c98b-46ca-8aad-6655440aaa8a		2026-08-12T04:41:02.358Z	2026-08-12T05:54:01.456Z	271	297	0	0		0	2417	70891535	432461	160034	71326413
87436511-e2bd-43ee-afde-1fa52f2c6795		2026-08-08T17:27:09.746Z	2026-08-08T17:31:40.183Z	7	11	0	0		0	14	306174	55667	4588	361855
8f4c86d5-a2cf-4d2c-ad0a-eddcd74e9465	planner	2026-08-26T06:15:45.365Z	2026-08-30T09:36:45.362Z	320	338	1	1	optimize-adversarial-review-tokens	0	636	112375737	2660086	337071	115036459
8f6f708e-97a2-47d4-b0e9-f695ed34296f		2026-08-26T11:46:16.502Z	2026-08-26T16:22:06.673Z	19	19	0	0		0	38	1287513	153650	11180	1441201
8f960800-f980-4eba-a294-6619ee41b059		2026-08-08T08:45:13.514Z	2026-08-08T17:26:38.437Z	214	244	0	0		0	465	45113777	338393	142033	45452635
916ab58e-75f7-46a4-8b64-f54b5ff537ac		2026-08-23T02:22:04.526Z	2026-08-23T14:17:23.408Z	193	214	7	1	planner-queue-review	0	382	42333751	1105758	206597	43439891
927cfa00-ee58-4953-92a6-bd77b5d13aeb		2026-08-06T05:51:22.664Z	2026-08-06T08:07:21.657Z	137	156	0	0		0	270	24335300	244572	110620	24580142
962fa594-0934-4315-8cf4-08229bf8145d		2026-08-21T07:35:58.331Z	2026-08-21T23:02:21.629Z	249	275	2	1	review-retrospectives-lessons	0	490	74289686	1627297	227320	75917473
9667d9e3-2d50-4cd7-b3b5-4946b7a4eda8	coder	2026-08-31T21:35:16.284Z	2026-08-31T23:02:31.362Z	187	217	3	1	planner	2	374	25725428	735350	207162	26461152
9951b4ac-90d7-4a68-aaf2-d73d3b23dd07	e7-printed-suggestions-feature	2026-08-22T00:37:09.142Z	2026-08-22T01:49:52.597Z	181	184	0	0		0	362	43621882	468124	166891	44090368
9d2b165a-a988-4f52-9627-5247bbf5bd72		2026-08-11T16:37:22.985Z	2026-08-11T20:20:27.066Z	199	207	0	0		0	395	55178150	797443	181246	55975988
9e275dc6-2ed6-4896-a4a7-3c5fe00e78ad	planner	2026-08-31T23:59:53.001Z	2026-09-01T06:58:14.570Z	102	119	0	0		1	200	12935314	433624	105638	13369138
9ef6d2f5-ef1e-4cb6-acff-33a20ccb54b2	coder	2026-09-04T09:54:48.082Z	2026-09-04T10:49:48.618Z	228	250	1	1	planner	0	456	62369824	394334	202884	62764614
9fccc3d0-ad2c-45ad-a89b-18afbf6751c6	planner	2026-09-03T12:51:30.638Z	2026-09-04T11:09:39.704Z	472	500	20	1	coder	0	1035	207296599	3051656	481446	210349290
a0b48cae-8259-4dee-8634-6f7687b32ce4		2026-08-07T07:45:14.901Z	2026-08-07T13:01:55.970Z	357	396	0	0		0	743	115916316	834078	277550	116751137
a2e0f9a4-8e6c-48fe-b341-dd6ac2cdd267	pinakes-development-overview	2026-09-01T07:38:09.265Z	2026-09-03T10:28:03.703Z	214	249	12	3	?|coder|planner	4	424	28596377	1167823	262587	29764624
a96ca91a-eb4b-4fbe-9166-37ebd256d40a		2026-08-07T21:55:31.306Z	2026-08-07T23:19:28.025Z	161	213	0	0		0	316	32418961	281443	148299	32700720
ad2833ac-5e56-436e-b280-d2acbeea6597	rebuild-docs-like-pdfscout	2026-08-04T11:42:21.945Z	2026-08-04T12:41:23.565Z	173	205	0	0		0	344	30154009	525023	103510	30679376
b1c4caa7-7648-4d98-a812-a1d0b2598c75	coder	2026-09-04T10:50:32.627Z	2026-09-04T11:09:27.743Z	35	46	1	1	planner	0	70	3933410	117998	42463	4051478
b20a558c-d7c6-46cf-bc4d-22f9113d4637	planner	2026-08-30T09:39:00.799Z	2026-08-31T21:29:57.597Z	255	284	9	2	coder|optimize-adversarial-review-tokens	0	506	91340171	1337826	282087	92678503
b38bcd82-6b37-459d-95af-24926a723824		2026-08-24T02:52:04.537Z	2026-08-25T01:17:38.278Z	193	229	7	1	coder	0	380	54703762	763697	214757	55467839
b736dae0-5f2a-442c-ac26-825b2b5237c1	coder	2026-09-02T11:20:24.980Z	2026-09-03T09:37:43.946Z	334	362	1	1	?	3	660	53823283	1769377	316010	55593320
b8a838aa-4627-4504-918a-8053c656cfb4		2026-08-06T08:07:21.677Z	2026-08-06T20:05:15.506Z	224	292	0	0		0	2019	56215532	788070	204969	57005621
b918fa33-fbb4-444c-9b4f-d84678f550c8		2026-08-06T00:47:13.961Z	2026-08-06T05:51:22.643Z	207	242	0	0		0	1430	41738825	789672	166986	42529927
ba55991c-ede5-4f94-ae8c-62a2105f3a62	explanation	2026-09-04T03:06:48.362Z	2026-09-04T03:10:21.949Z	3	5	0	0		0	6	168885	52625	2077	221516
bf481640-389f-4314-be77-3a83b9f7b34b		2026-08-11T20:20:27.080Z	2026-08-12T04:41:02.334Z	310	336	0	0		0	4475	125905627	593044	283663	126503146
bfbf2497-637d-4645-9e82-53146a60c5ee	coder	2026-09-03T15:31:24.235Z	2026-09-04T01:43:18.212Z	146	165	4	1	planner	0	292	33887812	994935	179902	34883039
c12c0b59-2c58-4181-8d0b-52e376ce0088	planner	2026-08-25T07:43:46.745Z	2026-08-25T09:51:05.321Z	193	203	6	1	coder	0	386	42102640	566001	197144	42669027
c82bee88-0d56-4491-99ac-073d41bf4849		2026-08-07T20:45:30.907Z	2026-08-07T21:55:31.281Z	149	208	0	0		0	477	28395498	274501	125653	28670476
c95f22bf-ece2-4f4c-b925-d29e153b7281	coder	2026-08-25T07:42:19.252Z	2026-08-25T09:50:48.610Z	97	110	9	1	planner	0	194	16012410	326274	124403	16338878
c9bf1d28-a42f-47ab-9205-3e886db32b13		2026-08-23T14:17:23.423Z	2026-08-23T15:07:36.808Z	123	146	0	0		0	246	25996462	302529	170466	26299237
cacf1b21-620b-4234-acf1-500cc02e5a82		2026-08-12T06:36:59.227Z	2026-08-21T07:35:58.317Z	156	164	0	0		0	301	60815324	1362539	107727	62178164
cd236d64-741b-476e-8c5d-aebe3ed542cf	slim-claude-md-refactor	2026-08-05T23:52:02.690Z	2026-08-06T00:54:19.298Z	153	159	0	0		0	302	28461947	290068	126651	28752317
cdcc3c5f-e8bf-4720-891f-9a78cd38729a	review-retrospectives-lessons	2026-08-21T07:23:45.482Z	2026-08-22T00:52:41.961Z	151	157	6	1	pinakes-ed	0	292	47861264	2697404	178302	50558960
d5568d25-3336-4a7b-abe1-05c7c82c85bd	planner-queue-review	2026-08-23T02:17:02.309Z	2026-08-23T03:27:04.071Z	189	189	0	0		0	378	33725675	388225	122560	34114278
d5d08b35-a434-4d40-acb6-aca142548fec	planner	2026-08-25T09:51:05.342Z	2026-08-25T18:25:15.485Z	237	274	5	1	coder	0	470	79698897	1208186	299495	80907553
dc99dfe7-5877-4f46-bf5a-4b3bb7e22033	coder	2026-09-04T01:46:00.648Z	2026-09-04T09:54:21.490Z	356	378	8	1	planner	0	710	128711795	951105	372920	129663610
ddce3a14-ebce-44a3-947d-86de8c0fdc43	optimize-adversarial-review-tokens	2026-08-25T18:56:12.181Z	2026-08-26T07:08:18.969Z	128	135	2	2	coder|planner	0	252	30682745	1271760	210738	31954757
e6c2f068-585f-4322-b7e4-4bd64cd2c7f5	ci-release-verification	2026-08-11T13:16:36.176Z	2026-08-11T14:52:23.407Z	283	332	0	0		0	558	71816779	425885	180091	72243222
ecb5e5e7-d60d-430f-a6ed-bb2fb87ea411	optimize-adversarial-review-tokens	2026-08-26T07:09:14.005Z	2026-08-30T09:27:14.528Z	173	183	1	1	planner	0	342	39856064	1174078	187019	41030484
f0029e6c-80fd-4b6b-bc22-4f2c4b301683	coder	2026-09-03T09:38:11.614Z	2026-09-03T15:30:25.928Z	614	633	13	2	?|planner	4	1222	101233587	1319455	554208	102554264
f51dcbfe-78b7-4b35-b654-8e05e8423edb	Pinakes - documentation update	2026-07-28T14:32:43.491Z	2026-08-05T23:42:26.763Z	2546	2704	0	0		12	5155	887629560	12951812	2363737	900586527
f593a4f6-5847-40e1-a970-fd0caac46b25		2026-08-07T19:04:39.983Z	2026-08-07T20:45:30.879Z	184	220	0	0		0	367	45397764	399503	204988	45797634
3cdf4cd5-4087-403f-bb90-f743abd0d7b9		2026-08-08T05:02:47.683Z	2026-08-08T05:53:16.448Z	10	10	0	0		0	20	421663	44971	1891	466654
a41d3a20-272b-49cb-a860-c604e63917d7		2026-08-08T05:01:18.573Z	2026-08-08T05:01:49.399Z	7	8	0	0		0	14	299701	21394	1811	321109
ecbcb671-5392-4a55-8c4c-a9ad05d37075		2026-08-08T05:01:51.336Z	2026-08-08T05:02:45.679Z	11	12	0	0		0	22	490668	22491	2160	513181
0f6af4b9-0d87-4b99-a85a-fa20cb691540	prompt injection attempt	2026-08-08T04:59:03.679Z	2026-08-08T05:00:46.624Z	2	2	1	1	auto-context-management-investigation	0	4	0	105758	161	105762
29b1b1a8-6a91-48b0-80ca-234576584dce		2026-08-08T04:55:10.863Z	2026-08-08T04:59:47.418Z	4	4	0	0		0	8	100934	46662	137	147604
ba181116-e8ca-4100-bd9c-efee4e94b129		2026-08-08T04:54:50.653Z	2026-08-08T04:54:59.391Z	3	3	0	0		0	6	77679	15830	310	93515
11111111-1111-4111-8111-111111111111		2026-08-08T04:56:07.128Z	2026-08-08T04:57:08.979Z	7	16	0	0		0	13	1348256	420974	3435	1769243
22222222-2222-4222-8222-222222222222		2026-08-08T04:57:19.790Z	2026-08-08T04:58:11.958Z	2	2	0	0		0	4	52652	13232	272	65888
44444444-4444-4444-8444-444444444444		2026-08-08T05:04:16.717Z	2026-08-08T05:04:20.096Z	1	1	0	0		0	2	23992	18597	4	42591
55555555-5555-4555-8555-555555555555		2026-08-08T05:04:44.099Z	2026-08-08T05:53:39.675Z	21	23	0	0		0	42	919941	96126	4245	1016109
d6a0c51e-40d0-4ab4-bfb9-f76bcaca80fe		2026-08-08T05:53:31.404Z	2026-08-08T05:53:34.824Z	1	1	0	0		0	2	29755	12901	4	42658
